id_cp;id;standard;tariff_id;max_power;voltage;ampere;format;power_type
DE*KIE*E30017*002;2662624;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30022*001;2894278;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30022*002;2894280;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30018*001;2662626;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30018*002;2662628;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30030x*001;241665102;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30030x*002;241665103;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30028*001;4281288;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30028*002;4281290;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30029*001;4281292;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30029*002;4281294;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30095*001;136212260;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30095*002;136212262;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30096*001;136212264;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30096*002;136212266;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30097*001;136212268;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30097*002;136212270;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30098*001;136212272;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30098*002;136212274;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30041*001;27169964;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30041*002;27169966;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30031*001;4980914;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30031*002;4980916;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E50001*001;30449728;IEC_62196_T2_COMBO;;50;400;125;CABLE;DC
DE*KIE*E50001*002;30449730;CHADEMO;;50;400;125;CABLE;DC
DE*KIE*E50001*003;30449732;IEC_62196_T2;;22;400;32;CABLE;AC_3_PHASE
DE*KIE*E50002*001;30449734;IEC_62196_T2_COMBO;;50;400;125;CABLE;DC
DE*KIE*E50002*002;30449736;CHADEMO;;50;400;125;CABLE;DC
DE*KIE*E50002*003;30449738;IEC_62196_T2;;22;400;32;CABLE;AC_3_PHASE
DE*KIE*E30038*001;23041586;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30038*002;23041588;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30037*001;23041582;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30037*002;23041584;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E50004*001;239661365;IEC_62196_T2_COMBO;;50;400;50;CABLE;DC
DE*KIE*E50004*002;239661366;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30055*001;49799366;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30055*002;49799368;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30039*001;49799362;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30039*002;49799364;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30056*001;49799370;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30056*002;49799372;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30059*001;49799382;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30059*002;49799384;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30084*001;156598542;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30084*002;232548161;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30085*001;156598544;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30085*002;156598546;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30086*001;156598548;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30086*002;156598550;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30087*001;156598552;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30087*002;156598554;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30088*001;156598556;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30088*002;156598558;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30089*001;156598560;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30089*002;156598562;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30090*001;156598564;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30090*002;156598566;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30091*001;156598568;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30091*002;156598570;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30092*001;156598572;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30092*002;156598574;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30093*001;156598576;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30093*002;156598578;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30043*001;27169972;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30043*002;27169974;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30042*001;27169968;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30042*002;27169970;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30058*001;49799378;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30058*002;49799380;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30057*001;49799374;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30057*002;49799376;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30040*001;23160402;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30040*002;23160404;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30049*001;39322622;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30049*002;39322624;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30050*001;39322626;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
