id_cs;uid;chargePointParkingSpaceNumbers;roaming;chargePointPosition;vehicle_type;chargePointPublicComment;parkingsensor_status;id;physical_reference;floor_level;chargingStationPosition
10268;21841;;False;;four_wheeled;;-;DE*TUE*E00003*001;;;
10268;21842;;False;;four_wheeled;;-;DE*TUE*E00003*002;;;
15059;33668;;False;;four_wheeled;;-;DE*TUE*E00006*001;;;
15059;33669;;False;;four_wheeled;;-;DE*TUE*E00006*002;;;
15245;34048;;False;;four_wheeled;;-;DE*TUE*E00007*001;;;
15245;34049;;False;;four_wheeled;;-;DE*TUE*E00007*002;;;
15507;35050;;False;;four_wheeled;;-;DE*TUE*E00008*001;;;
15507;35051;;False;;four_wheeled;;-;DE*TUE*E00008*002;;;
16612;37700;;False;;four_wheeled;;-;DE*TUE*E00009*001;;;
16612;37702;;False;;four_wheeled;;-;DE*TUE*E00009*002;;;
16614;37704;;False;;four_wheeled;;-;DE*TUE*E00010*001;;;
16614;37706;;False;;four_wheeled;;-;DE*TUE*E00010*002;;;
16616;37708;;False;;four_wheeled;;-;DE*TUE*E00011*001;;;
16616;37710;;False;;four_wheeled;;-;DE*TUE*E00011*002;;;
16618;37712;;False;;four_wheeled;;-;DE*TUE*E00012*001;;;
16618;37714;;False;;four_wheeled;;-;DE*TUE*E00012*002;;;
16620;37716;;False;;four_wheeled;;-;DE*TUE*E00013*001;;;
16620;37718;;False;;four_wheeled;;-;DE*TUE*E00013*002;;;
16622;37720;;False;;four_wheeled;;-;DE*TUE*E00014*001;;;
16622;37722;;False;;four_wheeled;;-;DE*TUE*E00014*002;;;
16624;37724;;False;Parkplatz links von der Ladestation;four_wheeled;;-;DE*TUE*E00015*001;;;
16624;37726;;False;Parkplatz rechts von der Ladestation;four_wheeled;;-;DE*TUE*E00015*002;;;
16626;37728;;False;;four_wheeled;;-;DE*TUE*E00016*001;;;
16626;37730;;False;;four_wheeled;;-;DE*TUE*E00016*002;;;
18220;41890;;False;;four_wheeled;;-;DE*TUE*E00017*001;;;
18220;41892;;False;;four_wheeled;;-;DE*TUE*E00017*002;;;
18220;41970;;False;;four_wheeled;;-;DE*TUE*E00017*003;;;
20212;44836;;False;;four_wheeled;;-;DE*TUE*E00018*001;;;
20212;44838;;False;;four_wheeled;;-;DE*TUE*E00018*002;;;
22244;49296;;False;;four_wheeled;;-;DE*TUE*E00020*001;;;
22244;49298;;False;;four_wheeled;;-;DE*TUE*E00020*002;;;
22244;716858;;False;;four_wheeled;;-;DE*TUE*E00020*004;;;
